Price,Close,High,Low,Open,Volume
Ticker,TLT,TLT,TLT,TLT,TLT
Date,,,,,
2015-11-02,93.72612762451172,93.90289945333902,93.51861847765235,93.59547350005721,8751000
2015-11-03,92.95756530761719,93.56472995045415,92.8345984449854,93.49556218966045,8921600
2015-11-04,93.0652084350586,93.41106499696343,92.76546959960683,93.0728957000783,5980800
2015-11-05,92.8192367553711,93.04212045484789,92.45801751518091,93.03443905613923,7268400
2015-11-06,91.45884704589844,91.86618382984992,91.25901935170424,91.83544065661536,10604700
2015-11-09,90.94392395019531,91.38200396452456,90.69029713567272,90.7671521469537,9159500
2015-11-10,91.21292114257812,91.6202579873486,90.98235024072311,91.07457977419743,6712500
2015-11-11,91.02080535888672,91.13609084107348,90.897832614244,90.95931898656536,2857900
2015-11-12,91.45884704589844,91.79701608781772,91.22827617846968,91.26670661092805,6805700
2015-11-13,91.98152923583984,92.15061386704326,91.6279913086257,91.70484635999145,7906600
2015-11-16,91.8969497680664,92.22743163262982,91.55878064237486,92.06603433091217,5485300
2015-11-17,92.05065155029297,92.32733428946113,91.19755327879643,91.45886149708765,5122900
2015-11-18,92.24278259277344,92.37344255223344,91.73553486522299,91.90461939562682,5233900
2015-11-19,92.857666015625,93.11129289768114,92.75006779844902,92.90377786193955,6643000
2015-11-20,92.57328033447266,93.02673491351602,92.44262621617588,92.94219263375645,5971000
2015-11-23,92.857666015625,93.08823697452387,92.47338499323561,92.6347823189996,5436300
2015-11-24,92.84996795654297,93.14970665005934,92.67320199044993,92.91914158163418,3371500
2015-11-25,93.0652084350586,93.31883540772245,92.95761017944336,93.12669482788593,3280900
2015-11-27,92.97293853759766,93.24193404304819,92.96525127639558,93.18813494195808,2570600
2015-11-30,93.34188842773438,93.4033748186439,93.04214960163162,93.07289279708638,5179800
2015-12-01,94.60264587402344,94.61804712220776,93.39344516623488,93.39344516623488,12766600
2015-12-02,94.63347625732422,94.76440746368102,94.10974555579939,94.47173667133681,7345800
2015-12-03,92.06103515625,93.50129609788392,91.64513083284612,93.47048771732463,16612200
2015-12-04,92.86972045898438,93.13928638997714,92.01480716633834,92.06101678990952,11843800
2015-12-07,93.7708740234375,94.31770962677912,93.03919398929978,93.0468916783465,9016700
2015-12-08,93.81703186035156,94.29455274201493,93.53976242920449,94.17902283302111,7257500
2015-12-09,93.71696472167969,94.07895590929729,92.81584147341805,93.4627999461909,8993900
2015-12-10,93.84015655517578,93.98649486265555,93.57059062778924,93.80165049474714,5606900
2015-12-11,95.31893157958984,95.58079395119059,94.63346139969768,94.75668902277549,12300000
2015-12-14,94.08663940429688,94.8491276920113,93.77085792463987,94.79521449744759,10661100
2015-12-15,93.53211212158203,93.65533977779123,93.06229456283187,93.20862703732413,8795500
2015-12-16,93.33186340332031,94.09435181030351,92.80813262730899,93.24714181631124,10988600
2015-12-17,94.38704681396484,94.56418771124474,93.68616916306735,93.79399558995935,9923000
2015-12-18,94.91075897216797,95.13410947232155,94.59497744419498,94.79522900154132,10171700
2015-12-21,94.88764953613281,95.33436229456375,94.6719967220209,95.06479627692387,7494900
2015-12-22,94.20215606689453,94.57955427523449,93.9556949288445,94.4640243313773,5445800
2015-12-23,93.49359893798828,93.66304210462232,93.09310171547905,93.37037128340782,7287100
2015-12-24,94.02921295166016,94.06008592668972,93.6973358306147,93.75136206481197,3364600
2015-12-28,94.30701446533203,94.67747819489968,94.0445972591747,94.15264967099984,7586600
2015-12-29,92.74028778076172,93.95973778482413,92.62451560821185,93.92115098625237,7787500
2015-12-30,92.6476821899414,93.03358556166471,92.36211157503563,92.55506326089728,5508900
2015-12-31,93.06446838378906,93.28057335267009,92.80977071828553,93.0567486667808,7897700
2016-01-04,93.73593139648438,94.50773817912622,93.63559863457158,94.10640124305657,10591900
2016-01-05,93.35771179199219,93.77448800082804,93.12617337936085,93.29596585992402,6242600
2016-01-06,94.61576843261719,94.63892757692791,94.19899804969714,94.39194970003375,8916900
2016-01-07,94.78556823730469,94.8781871506744,93.99832808312209,94.68523549746702,10202200
2016-01-08,95.21009063720703,95.29498985923932,94.3379510426431,94.49231005265517,9577200
2016-01-11,94.16815948486328,94.77016791172008,94.0523872746787,94.19131274921635,10040300
2016-01-12,95.5264892578125,95.95098519415016,94.27616647881136,94.42280571175098,12897700
2016-01-13,96.46809387207031,96.86171684025743,95.14058573498153,95.34125707599681,15577600
2016-01-14,95.5650863647461,96.45266507102194,95.19461663147372,96.06676179772084,12873800
2016-01-15,97.05467987060547,97.21675854986283,96.53757086224857,96.78454873850986,13976300
2016-01-19,96.75370025634766,97.30168237398395,96.43725664407425,96.57618210265942,8926600
2016-01-20,97.77246856689453,98.72950718282725,97.57179718521881,98.00401292178323,17283300
2016-01-21,97.10875701904297,98.24331425720221,96.99298479074547,97.9731829834548,11001600
2016-01-22,96.73822784423828,96.88487296953548,96.10534672386338,96.40635668853038,10164300
2016-01-25,97.26310729980469,97.45605903343964,96.9775425026135,97.20908104992368,5738200
2016-01-26,97.30937194824219,97.60265631955517,97.05467437166116,97.23990629625794,5692600
2016-01-27,97.2862319946289,97.47146394455048,96.6224777949576,97.0546876409138,7957800
2016-01-28,97.42516326904297,97.56408871191601,96.83086880681243,96.89261475662666,10575400
2016-01-29,98.25098419189453,98.6831940108882,97.95769391036269,98.3358833903993,13170700
2016-02-01,97.95018768310547,98.25949710996052,97.6563469723658,98.04298228103796,9948400
2016-02-02,99.76740264892578,99.78285956963201,98.97866312339194,99.05599492362754,10400000
2016-02-03,98.93994140625,100.47875368907806,98.91674423910123,99.19512204405582,13309000
2016-02-04,99.41943359375,99.4348905145258,98.59976252434983,99.14878409088321,9953500
2016-02-05,99.53541564941406,99.75193052367092,98.66161589312165,98.89359948673277,9200800
2016-02-08,101.6773452758789,101.78560267708829,100.27771571851027,100.30865314695396,14452200
2016-02-09,101.78564453125,102.11814532912717,101.26755448391185,102.1026766085446,15232100
2016-02-10,102.68258666992188,102.721252555572,101.38349786611397,101.839724638939,12797100
2016-02-11,103.40177917480469,104.58488263330273,102.85275167877026,103.95853513164809,21620200
2016-02-12,101.6850814819336,102.94551630569586,101.24431158681205,102.56660947300398,13888400
2016-02-16,100.61026000976562,101.10515282889223,100.37827641973038,101.08195564980625,11766000
2016-02-17,99.99163055419922,100.39373461483041,99.5276752219395,100.2468112965705,13157300
2016-02-18,101.22113037109375,101.29846216111557,100.03029867930981,100.06896457432072,10196700
2016-02-19,101.30619812011719,101.93255734764418,101.08968325103703,101.25207530243486,8188700
2016-02-22,101.25203704833984,101.38349161210391,101.06644788817064,101.3757631551193,5054300
2016-02-23,101.6618881225586,101.87067449119533,100.35505890273778,100.43239068346935,8320700
2016-02-24,101.46084594726562,103.14657028021189,101.25978802923356,102.38102809829651,9091200
2016-02-25,101.82427215576172,102.50475409432413,101.54590605272101,101.66962038768125,6097200
2016-02-26,100.84225463867188,101.15155825979363,100.55613639999859,100.76492283380303,9245000
2016-02-29,101.28298950195312,101.42991281777248,100.84995981270077,100.88862570620704,8016100
2016-03-01,99.49955749511719,101.37443313884381,99.41434769650698,101.35119195348481,13729100
2016-03-02,99.91019439697266,99.91793751940514,99.32914103238973,99.414362665391,7047700
2016-03-03,100.27424621582031,100.6693698170312,99.76292856613222,99.99535212774684,6394800
2016-03-04,99.63128662109375,100.04189671271733,98.980503790181,99.74749256341713,8687000
2016-03-07,99.60028076171875,99.68550238495332,99.20516877484553,99.51505913848419,5493300
2016-03-08,100.70038604736328,101.48287855892825,100.67714486598582,100.9870469869472,7175400
2016-03-09,100.08836364746094,100.47573249085443,99.79395954358301,100.00314202905201,7194700
2016-03-10,99.67772674560547,100.59191129519738,99.10441675618894,100.32850338987996,10091600
2016-03-11,98.67057800292969,99.84818242670396,98.55436618454979,99.80170006366345,8927000
